Province,fsa,Gender,Age,population
Newfoundland and Labrador ,A0J,Female,35 to 39,144
Newfoundland and Labrador ,A0J,Female,40 to 44,182
Newfoundland and Labrador ,A0J,Female,45 to 49,270
Newfoundland and Labrador ,A0J,Female,50 to 54,316
Newfoundland and Labrador ,A0J,Female,55 to 59,368
Newfoundland and Labrador ,A0J,Female,60 to 64,387
Newfoundland and Labrador ,A0J,Female,65 to 69,384
Newfoundland and Labrador ,A0J,Female,70 to 74,338
Newfoundland and Labrador ,A0J,Female,75 to 79,208
Newfoundland and Labrador ,A0J,Female,80 to 84,144
Newfoundland and Labrador ,A0J,Female,85 plus,151
Newfoundland and Labrador ,A0J,Male,25 to 29,138
Newfoundland and Labrador ,A0J,Male,30 to 34,127
Newfoundland and Labrador ,A0J,Male,35 to 39,125
Newfoundland and Labrador ,A0J,Male,40 to 44,163
Newfoundland and Labrador ,A0J,Male,45 to 49,243
Newfoundland and Labrador ,A0J,Male,50 to 54,320
Newfoundland and Labrador ,A0J,Male,55 to 59,356
Newfoundland and Labrador ,A0J,Male,60 to 64,362
Newfoundland and Labrador ,A0J,Male,65 to 69,352
Newfoundland and Labrador ,A0J,Male,70 to 74,345
Newfoundland and Labrador ,A0J,Male,75 to 79,228
Newfoundland and Labrador ,A0J,Male,80 to 84,134
Newfoundland and Labrador ,A0J,Male,85 plus,92
Newfoundland and Labrador ,A0K,Female,25 to 29,396
Newfoundland and Labrador ,A0K,Female,30 to 34,478
Newfoundland and Labrador ,A0K,Female,35 to 39,522
Newfoundland and Labrador ,A0K,Female,40 to 44,643
Newfoundland and Labrador ,A0K,Female,45 to 49,901
Newfoundland and Labrador ,A0K,Female,50 to 54,1184
Newfoundland and Labrador ,A0K,Female,55 to 59,1255
Newfoundland and Labrador ,A0K,Female,60 to 64,1285
Newfoundland and Labrador ,A0K,Female,65 to 69,1219
Newfoundland and Labrador ,A0K,Female,70 to 74,1046
Newfoundland and Labrador ,A0K,Female,75 to 79,701
Newfoundland and Labrador ,A0K,Female,80 to 84,421
Newfoundland and Labrador ,A0K,Female,85 plus,354
Newfoundland and Labrador ,A0K,Male,25 to 29,432
Newfoundland and Labrador ,A0K,Male,30 to 34,444
Newfoundland and Labrador ,A0K,Male,35 to 39,452
Newfoundland and Labrador ,A0K,Male,40 to 44,567
Newfoundland and Labrador ,A0K,Male,45 to 49,842
Newfoundland and Labrador ,A0K,Male,50 to 54,1168
Newfoundland and Labrador ,A0K,Male,55 to 59,1299
Newfoundland and Labrador ,A0K,Male,60 to 64,1345
Newfoundland and Labrador ,A0K,Male,65 to 69,1242
Newfoundland and Labrador ,A0K,Male,70 to 74,1026
Newfoundland and Labrador ,A0K,Male,75 to 79,661
Newfoundland and Labrador ,A0K,Male,80 to 84,433
Newfoundland and Labrador ,A0K,Male,85 plus,302
Newfoundland and Labrador ,A0L,Female,25 to 29,180
Newfoundland and Labrador ,A0L,Female,30 to 34,201
Newfoundland and Labrador ,A0L,Female,35 to 39,241
Newfoundland and Labrador ,A0L,Female,40 to 44,293
Newfoundland and Labrador ,A0L,Female,45 to 49,327
Newfoundland and Labrador ,A0L,Female,50 to 54,368
Newfoundland and Labrador ,A0L,Female,55 to 59,410
Newfoundland and Labrador ,A0L,Female,60 to 64,439
Newfoundland and Labrador ,A0L,Female,65 to 69,401
Newfoundland and Labrador ,A0L,Female,70 to 74,320
Newfoundland and Labrador ,A0L,Female,75 to 79,182
Newfoundland and Labrador ,A0L,Female,80 to 84,102
Newfoundland and Labrador ,A0L,Female,85 plus,88
Newfoundland and Labrador ,A0L,Male,25 to 29,204
Newfoundland and Labrador ,A0L,Male,30 to 34,205
Newfoundland and Labrador ,A0L,Male,35 to 39,227
Newfoundland and Labrador ,A0L,Male,40 to 44,275
Newfoundland and Labrador ,A0L,Male,45 to 49,336
Newfoundland and Labrador ,A0L,Male,50 to 54,392
Newfoundland and Labrador ,A0L,Male,55 to 59,426
Newfoundland and Labrador ,A0L,Male,60 to 64,414
Newfoundland and Labrador ,A0L,Male,65 to 69,417
Newfoundland and Labrador ,A0L,Male,70 to 74,350
Newfoundland and Labrador ,A0L,Male,75 to 79,214
Newfoundland and Labrador ,A0L,Male,80 to 84,108
Newfoundland and Labrador ,A0L,Male,85 plus,60
Newfoundland and Labrador ,A0M,Female,25 to 29,104
Newfoundland and Labrador ,A0M,Female,30 to 34,118
Newfoundland and Labrador ,A0M,Female,35 to 39,135
Newfoundland and Labrador ,A0M,Female,40 to 44,208
Newfoundland and Labrador ,A0M,Female,45 to 49,277
Newfoundland and Labrador ,A0M,Female,50 to 54,370
Newfoundland and Labrador ,A0M,Female,55 to 59,398
Newfoundland and Labrador ,A0M,Female,60 to 64,459
Newfoundland and Labrador ,A0M,Female,65 to 69,419
Newfoundland and Labrador ,A0M,Female,70 to 74,351
Newfoundland and Labrador ,A0M,Female,75 to 79,230
Newfoundland and Labrador ,A0M,Female,80 to 84,147
Newfoundland and Labrador ,A0M,Female,85 plus,144
Newfoundland and Labrador ,A0M,Male,25 to 29,137
Newfoundland and Labrador ,A0M,Male,30 to 34,120
Newfoundland and Labrador ,A0M,Male,35 to 39,114
Newfoundland and Labrador ,A0M,Male,40 to 44,150
Newfoundland and Labrador ,A0M,Male,45 to 49,250
Newfoundland and Labrador ,A0M,Male,50 to 54,338
Newfoundland and Labrador ,A0M,Male,55 to 59,376
Newfoundland and Labrador ,A0M,Male,60 to 64,424
Newfoundland and Labrador ,A0M,Male,65 to 69,432
Newfoundland and Labrador ,A0M,Male,70 to 74,355
Newfoundland and Labrador ,A0M,Male,75 to 79,218
Newfoundland and Labrador ,A0M,Male,80 to 84,113
Newfoundland and Labrador ,A0M,Male,85 plus,72
Newfoundland and Labrador ,A0N,Female,25 to 29,195
Newfoundland and Labrador ,A0N,Female,30 to 34,230
Newfoundland and Labrador ,A0N,Female,35 to 39,257
Newfoundland and Labrador ,A0N,Female,40 to 44,281
Newfoundland and Labrador ,A0N,Female,45 to 49,368
Newfoundland and Labrador ,A0N,Female,50 to 54,472
Newfoundland and Labrador ,A0N,Female,55 to 59,556
Newfoundland and Labrador ,A0N,Female,60 to 64,570
Newfoundland and Labrador ,A0N,Female,65 to 69,548
Newfoundland and Labrador ,A0N,Female,70 to 74,439
Newfoundland and Labrador ,A0N,Female,75 to 79,284
Newfoundland and Labrador ,A0N,Female,80 to 84,191
Newfoundland and Labrador ,A0N,Female,85 plus,184
Newfoundland and Labrador ,A0N,Male,25 to 29,215
Newfoundland and Labrador ,A0N,Male,30 to 34,219
Newfoundland and Labrador ,A0N,Male,35 to 39,213
Newfoundland and Labrador ,A0N,Male,40 to 44,212
Newfoundland and Labrador ,A0N,Male,45 to 49,327
Newfoundland and Labrador ,A0N,Male,50 to 54,440
Newfoundland and Labrador ,A0N,Male,55 to 59,568
Newfoundland and Labrador ,A0N,Male,60 to 64,615
Newfoundland and Labrador ,A0N,Male,65 to 69,571
Newfoundland and Labrador ,A0N,Male,70 to 74,516
Newfoundland and Labrador ,A0N,Male,75 to 79,337
Newfoundland and Labrador ,A0N,Male,80 to 84,193
Newfoundland and Labrador ,A0N,Male,85 plus,167
Newfoundland and Labrador ,A0P,Female,25 to 29,471
Newfoundland and Labrador ,A0P,Female,30 to 34,519
Newfoundland and Labrador ,A0P,Female,35 to 39,470
Newfoundland and Labrador ,A0P,Female,40 to 44,466
Newfoundland and Labrador ,A0P,Female,45 to 49,457
Newfoundland and Labrador ,A0P,Female,50 to 54,459
Newfoundland and Labrador ,A0P,Female,55 to 59,443
Newfoundland and Labrador ,A0P,Female,60 to 64,398
Newfoundland and Labrador ,A0P,Female,65 to 69,301
Newfoundland and Labrador ,A0P,Female,70 to 74,222
Newfoundland and Labrador ,A0P,Female,75 to 79,136
Newfoundland and Labrador ,A0P,Female,80 to 84,72
Newfoundland and Labrador ,A0P,Female,85 plus,63
